GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,LJCE001,LJCE002,LJCE003,LJCE004,LJCE005,LJCE006,LJCE007,LJCE008,LJCE009,LJCE010,NAME_M,LJCM001,LJCM002,LJCM003,LJCM004,LJCM005,LJCM006,LJCM007,LJCM008,LJCM009,LJCM010
"G0100030","2011","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",186717,162171,18524,401,1464,0,1721,2436,0,2436,"Baldwin County, Alabama",0,1714,332,417,380,190,1714,577,190,577
"G0100150","2011","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",117797,88358,25428,147,110,0,1223,2531,567,1964,"Calhoun County, Alabama",0,1187,620,210,132,190,859,1005,839,620
"G0100430","2011","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",80536,76442,992,455,351,40,968,1288,320,968,"Cullman County, Alabama",0,1248,414,338,65,88,1058,595,424,436
"G0100490","2011","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71375,64518,1466,818,107,0,2962,1504,47,1457,"DeKalb County, Alabama",0,2126,125,640,105,190,2179,823,90,815
"G0100510","2011","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,
"G0100550","2011","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",104303,84403,16328,173,856,220,1146,1177,173,1004,"Etowah County, Alabama",0,1073,565,190,190,352,1192,432,227,371
"G0100690","2011","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",102369,71328,26489,323,701,17,1685,1826,86,1740,"Houston County, Alabama",0,439,343,129,176,32,490,418,83,388
"G0100730","2011","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",658931,346566,278920,1694,10395,26,17302,4028,172,3856,"Jefferson County, Alabama",0,2862,1141,722,321,50,2951,1125,198,1125
"G0100770","2011","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92781,80740,10110,155,627,0,334,815,40,775,"Lauderdale County, Alabama",0,558,568,198,175,190,497,563,85,556
"G0100810","2011","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",143468,101250,33808,65,4044,0,1854,2447,106,2341,"Lee County, Alabama",0,926,1481,86,277,190,1012,1221,192,1227
"G0100830","2011","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",85369,69208,11994,502,400,0,2133,1132,169,963,"Limestone County, Alabama",0,1202,814,251,674,190,1144,599,170,538
"G0100890","2011","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",340111,234068,82329,2057,7805,626,2994,10232,911,9321,"Madison County, Alabama",0,1922,1373,540,882,868,1517,2043,606,1738
"G0100950","2011","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",94166,86656,2080,271,513,30,3265,1351,7,1344,"Marshall County, Alabama",0,1661,307,202,137,56,1668,371,12,370
"G0100970","2011","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",412577,249423,143823,3796,7476,112,2992,4955,290,4665,"Mobile County, Alabama",0,1305,1275,472,941,192,1302,1707,227,1689
"G0101010","2011","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",232032,94826,127067,1071,5178,0,1341,2549,433,2116,"Montgomery County, Alabama",0,1456,1033,703,415,190,1148,925,621,821
"G0101030","2011","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",119953,99466,15103,385,151,382,2342,2124,0,2124,"Morgan County, Alabama",0,1511,785,298,231,510,1503,591,190,591
"G0101150","2011","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",84398,75722,6753,584,609,20,114,596,0,596,"St. Clair County, Alabama",0,1594,1660,434,197,44,230,529,190,529
"G0101170","2011","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",197936,165006,22795,519,4337,0,3865,1414,299,1115,"Shelby County, Alabama",0,2462,246,368,268,190,2341,640,510,527
"G0101210","2011","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",,,,,,,,,,,"Talladega County, Alabama",,,,,,,,,,
"G0101250","2011","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",197211,132893,60060,96,2763,0,504,895,51,844,"Tuscaloosa County, Alabama",0,503,483,97,221,190,461,527,84,519
"G0101270","2011","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",66661,60645,3423,119,139,0,682,1653,61,1592,"Walker County, Alabama",0,418,686,163,167,190,422,734,117,698
"G0200200","2011","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",295570,196444,16294,19194,23872,6145,3140,30481,2778,27703,"Anchorage Municipality, Alaska",0,2566,1734,2718,1647,440,1247,3668,1365,3311
"G0200900","2011","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",99192,75684,4606,6641,2460,259,1927,7615,204,7411,"Fairbanks North Star Borough, Alaska",0,952,852,1369,430,420,1085,1806,191,1790
