GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AE2CE001,AE2CE002,AE2CE003,AE2CE004,AE2CE005,AE2CE006,AE2CE007,AE2CE008,AE2CE009,AE2CE010,NAME_M,AE2CM001,AE2CM002,AE2CM003,AE2CM004,AE2CM005,AE2CM006,AE2CM007,AE2CM008,AE2CM009,AE2CM010
"G0100030","2016","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",208563,180484,18821,1383,914,0,1469,5492,556,4936,"Baldwin County, Alabama",0,1072,1155,1159,441,195,1104,1508,607,1461
"G0100150","2016","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",114611,84357,24160,803,1064,0,2129,2098,119,1979,"Calhoun County, Alabama",0,912,556,960,279,195,1066,667,171,670
"G0100430","2016","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",82471,79032,1052,633,763,0,537,454,105,349,"Cullman County, Alabama",0,558,214,501,515,195,550,353,131,301
"G0100490","2016","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",70900,62139,1087,862,74,87,5095,1556,72,1484,"DeKalb County, Alabama",0,2579,188,583,97,140,2524,658,141,622
"G0100510","2016","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,
"G0100550","2016","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",102564,83159,16417,484,858,0,107,1539,0,1539,"Etowah County, Alabama",0,1034,1202,365,142,195,181,825,195,825
"G0100690","2016","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",104056,71838,27762,443,1054,0,1031,1928,102,1826,"Houston County, Alabama",0,615,382,219,89,195,637,428,98,412
"G0100730","2016","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",659521,340506,279979,1799,8366,323,14127,14421,1420,13001,"Jefferson County, Alabama",0,2219,3855,942,1352,328,3157,3522,929,3436
"G0100770","2016","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92318,80596,9513,132,720,60,119,1178,0,1178,"Lauderdale County, Alabama",0,83,817,164,103,108,112,752,195,752
"G0100810","2016","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",158991,111185,37968,0,6648,63,828,2299,260,2039,"Lee County, Alabama",0,1161,1543,195,450,111,746,1211,318,1126
"G0100830","2016","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",92753,76272,14066,599,364,0,214,1238,0,1238,"Limestone County, Alabama",0,401,789,560,471,195,207,647,195,647
"G0100890","2016","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",356967,243688,87415,2547,8383,250,4835,9849,311,9538,"Madison County, Alabama",0,1765,1475,858,1391,82,1675,2061,278,2058
"G0100950","2016","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",95157,89605,2764,369,746,0,541,1132,161,971,"Marshall County, Alabama",0,618,124,254,55,195,537,371,217,295
"G0100970","2016","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",414836,243284,148001,3328,8269,20,4702,7232,395,6837,"Mobile County, Alabama",0,1591,1565,797,659,33,1925,1697,441,1682
"G0101010","2016","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",226349,81740,130006,339,5753,36,3774,4701,142,4559,"Montgomery County, Alabama",0,1190,1761,201,1271,64,1341,2145,190,2177
"G0101030","2016","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",119012,93591,14431,763,1076,0,6454,2697,88,2609,"Morgan County, Alabama",0,1650,882,711,43,195,1680,1213,208,1224
"G0101150","2016","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,
"G0101170","2016","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",210622,168484,24066,211,4535,197,8566,4563,232,4331,"Shelby County, Alabama",0,1983,1247,261,417,248,2071,1381,369,1343
"G0101210","2016","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",80103,51823,26589,70,548,23,626,424,0,424,"Talladega County, Alabama",0,488,364,120,83,41,521,267,195,267
"G0101250","2016","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",206102,132006,66183,34,3413,0,2851,1615,105,1510,"Tuscaloosa County, Alabama",0,1454,849,63,237,195,1413,897,155,861
"G0101270","2016","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,
"G0200200","2016","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",298192,184841,16102,23916,27142,7669,7935,30587,1142,29445,"Anchorage Municipality, Alaska",0,2303,1868,2789,2741,230,2536,4037,938,3905
