GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ACK3E001,ACK3E002,ACK3E003,ACK3E004,ACK3E005,ACK3E006,ACK3E007,ACK3E008,ACK3E009,ACK3E010,NAME_M,ACK3M001,ACK3M002,ACK3M003,ACK3M004,ACK3M005,ACK3M006,ACK3M007,ACK3M008,ACK3M009,ACK3M010
"G0100030","2015","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",203709,174923,23049,1917,303,0,1383,2134,812,1322,"Baldwin County, Alabama",0,1624,1049,739,288,192,1442,1300,1065,749
"G0100150","2015","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",115620,86053,22709,176,1229,0,1787,3666,84,3582,"Calhoun County, Alabama",0,1297,1366,195,140,192,1312,1306,144,1294
"G0100430","2015","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",82005,80309,475,99,218,0,598,306,0,306,"Cullman County, Alabama",0,878,291,91,191,192,795,204,192,204
"G0100490","2015","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71130,60748,1274,541,146,2319,4605,1497,103,1394,"DeKalb County, Alabama",0,1846,610,609,249,2422,1949,806,143,809
"G0100510","2015","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",81468,61760,17971,7,207,0,166,1357,0,1357,"Elmore County, Alabama",0,313,230,13,123,192,210,163,192,163
"G0100550","2015","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",,,,,,,,,,,"Etowah County, Alabama",,,,,,,,,,
"G0100690","2015","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",104173,72292,27689,309,880,140,579,2284,183,2101,"Houston County, Alabama",0,449,586,184,176,227,450,578,174,578
"G0100730","2015","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",660367,345005,282511,1260,10861,711,11996,8023,643,7380,"Jefferson County, Alabama",0,2469,2538,609,908,1120,2666,1926,473,1894
"G0100770","2015","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92596,80447,9741,462,492,0,0,1454,93,1361,"Lauderdale County, Alabama",0,239,487,262,283,192,192,566,112,567
"G0100810","2015","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",156993,110378,36539,231,5714,0,1476,2655,204,2451,"Lee County, Alabama",0,1573,898,254,254,192,1606,966,252,916
"G0100830","2015","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",91663,73933,12229,839,1155,0,1557,1950,145,1805,"Limestone County, Alabama",0,1273,1127,889,320,192,1228,1109,255,1041
"G0100890","2015","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",353089,243431,85184,1755,8967,344,2579,10829,1001,9828,"Madison County, Alabama",0,1303,1913,694,1196,394,1196,2436,865,2290
"G0100950","2015","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",94725,88843,2604,213,46,73,941,2005,223,1782,"Marshall County, Alabama",0,1053,471,151,48,80,1063,496,224,458
