GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKSME001,AKSME002,AKSME003,AKSME004,AKSME005,AKSME006,AKSME007,AKSME008,AKSME009,AKSME010,NAME_M,AKSMM001,AKSMM002,AKSMM003,AKSMM004,AKSMM005,AKSMM006,AKSMM007,AKSMM008,AKSMM009,AKSMM010
"G0100030","2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",223234,190912,18338,2428,2160,0,4685,4711,0,4711,"Baldwin County, Alabama",0,2259,1834,1195,733,206,2280,2205,206,2205
"G0100150","2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",113605,82323,25226,201,225,85,3186,2359,0,2359,"Calhoun County, Alabama",0,1330,1306,243,211,130,1802,1184,206,1184
"G0100430","2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,
"G0100490","2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71513,59305,688,792,17,339,8327,2045,8,2037,"DeKalb County, Alabama",0,1375,434,740,29,405,1548,913,18,915
"G0100510","2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",81209,61634,17768,204,884,0,216,503,64,439,"Elmore County, Alabama",0,311,410,210,206,206,259,381,114,365
"G0100550","2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",102268,79988,16040,290,796,12,3207,1935,142,1793,"Etowah County, Alabama",0,698,637,408,281,21,777,773,246,702
"G0100690","2019","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",105882,71582,29736,93,946,120,1502,1903,146,1757,"Houston County, Alabama",0,1487,445,66,193,141,1465,471,129,470
"G0100730","2019","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",658573,341788,285001,1846,11523,0,9081,9334,353,8981,"Jefferson County, Alabama",0,2877,1579,1022,818,206,2812,2045,259,2045
"G0100770","2019","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92729,79178,10533,224,117,0,620,2057,1279,778,"Lauderdale County, Alabama",0,1232,739,310,187,206,382,1110,1069,615
"G0100810","2019","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",164542,116738,37396,586,7191,0,197,2434,0,2434,"Lee County, Alabama",0,686,1278,623,895,206,229,1373,206,1373
"G0100830","2019","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",98915,77744,13999,435,1695,80,2831,2131,104,2027,"Limestone County, Alabama",0,1185,914,351,456,145,1125,757,129,757
"G0100890","2019","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",372909,250321,92197,2331,10309,132,7659,9960,513,9447,"Madison County, Alabama",0,2232,1869,948,798,138,2407,1806,450,1704
"G0100950","2019","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",96774,90252,3820,71,593,0,1222,816,27,789,"Marshall County, Alabama",0,869,535,100,128,206,856,527,41,532
"G0100970","2019","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",413210,240449,150159,2915,7779,61,3449,8398,496,7902,"Mobile County, Alabama",0,2426,2160,906,1347,99,2236,2517,421,2423
"G0101010","2019","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",226486,78586,132115,816,7273,0,3458,4238,444,3794,"Montgomery County, Alabama",0,1402,1614,422,587,206,1498,1598,503,1496
"G0101030","2019","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",,,,,,,,,,,"Morgan County, Alabama",,,,,,,,,,
"G0101150","2019","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,
"G0101170","2019","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",217702,173941,27252,1555,4070,0,4958,5926,504,5422,"Shelby County, Alabama",0,1877,1544,999,821,206,2279,1896,517,1773
"G0101210","2019","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",79978,50787,26486,385,413,133,164,1610,81,1529,"Talladega County, Alabama",0,539,1207,671,236,163,170,819,134,830
"G0101250","2019","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",209355,134432,68660,87,3491,125,1053,1507,205,1302,"Tuscaloosa County, Alabama",0,1056,486,127,364,218,1054,619,252,496
"G0101270","2019","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,
"G0200200","2019","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",288000,180389,15207,25556,25976,8041,6490,26341,860,25481,"Anchorage Municipality, Alaska",0,2683,1761,2517,2250,511,2340,4051,546,3894
"G0200900","2019","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",96849,73145,3962,8955,3173,117,1241,6256,490,5766,"Fairbanks North Star Borough, Alaska",0,1209,945,1615,935,248,997,1885,529,1942
"G0201700","2019","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",108317,88690,1699,8489,1681,326,416,7016,229,6787,"Matanuska-Susitna Borough, Alaska",0,624,208,1189,592,286,295,1271,209,1251
"G0400010","2019","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",71887,15109,721,53480,160,15,1127,1275,637,638,"Apache County, Arizona",0,899,434,1032,168,27,595,743,509,514
"G0400030","2019","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",125922,108177,6163,1006,2795,129,2141,5511,448,5063,"Cochise County, Arizona",0,1768,1237,911,674,218,1071,1259,334,1164
"G0400050","2019","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",143476,91649,1364,37187,2730,419,3897,6230,253,5977,"Coconino County, Arizona",0,1736,461,1082,481,440,1334,1766,305,1750
"G0400130","2019","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",4485414,3547155,266128,93358,192301,10045,213953,162474,31995,130479,"Maricopa County, Arizona",0,17870,7213,6179,5275,1308,16250,9681,5459,8908
"G0400150","2019","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",212181,188756,1496,4358,1923,138,7608,7902,1169,6733,"Mohave County, Arizona",0,3072,845,1173,474,225,3077,1920,605,1827
"G0400170","2019","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",110924,51262,1309,50892,193,136,3817,3315,306,3009,"Navajo County, Arizona",0,1568,842,1655,198,184,1327,1393,276,1377
"G0400190","2019","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",1047279,795391,38343,40603,29276,1733,82611,59322,12368,46954,"Pima County, Arizona",0,11179,2151,4240,2215,428,9617,7172,3878,6289
"G0400210","2019","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",462789,366928,21264,25035,6642,1197,21525,20198,2813,17385,"Pinal County, Arizona",0,6039,1837,1939,1307,456,5127,4143,1208,3801
"G0400250","2019","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",235099,209030,2020,4526,2543,51,12111,4818,931,3887,"Yavapai County, Arizona",0,3881,477,755,688,82,3742,1484,793,1118
"G0400270","2019","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",213787,189117,3244,2900,2388,242,9376,6520,840,5680,"Yuma County, Arizona",0,2986,1003,738,573,185,2530,1601,505,1431
"G0500070","2019","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",279141,243511,4371,4314,10818,1907,5019,9201,1220,7981,"Benton County, Arkansas",0,1835,1136,879,1395,82,1530,2087,617,1898
"G0500310","2019","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",110332,86310,18031,188,1527,0,507,3769,937,2832,"Craighead County, Arkansas",0,1443,1260,252,140,206,592,1864,1180,1492
"G0500450","2019","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",126007,104065,15337,194,1401,0,1766,3244,28,3216,"Faulkner County, Arkansas",0,1089,1417,315,628,206,1061,1483,59,1491
"G0500510","2019","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",99386,86188,8275,849,951,0,633,2490,69,2421,"Garland County, Arkansas",0,549,895,487,299,206,453,1084,128,1088
"G0500690","2019","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",,,,,,,,,,,"Jefferson County, Arkansas",,,,,,,,,,
"G0500850","2019","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",,,,,,,,,,,"Lonoke County, Arkansas",,,,,,,,,,
"G0501190","2019","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",391911,216942,147026,1365,8522,289,7095,10672,374,10298,"Pulaski County, Arkansas",0,2968,2417,632,916,310,2944,3035,384,2971
"G0501250","2019","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",122437,107328,9375,246,1747,0,632,3109,34,3075,"Saline County, Arkansas",0,946,1694,269,332,206,514,1614,65,1619
"G0501310","2019","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",127827,92977,8891,1031,5647,0,11058,8223,1508,6715,"Sebastian County, Arkansas",0,2105,502,565,723,206,2524,1988,1354,1559
"G0501430","2019","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",239187,188340,9389,2251,6116,6769,18738,7584,1387,6197,"Washington County, Arkansas",0,4827,1079,600,884,206,4908,1840,960,1648
"G0501450","2019","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",78753,71325,4524,768,0,0,1196,940,0,940,"White County, Arkansas",0,967,469,130,206,206,950,497,206,497
"G0600010","2019","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",1671329,649209,178246,12648,520313,13503,191329,106081,20104,85977,"Alameda County, California",0,10221,3412,2525,5941,885,10925,8046,3010,7120
"G0600070","2019","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",219186,175765,3984,2333,10365,798,12272,13669,1491,12178,"Butte County, California",0,3185,1109,1140,1523,498,3364,2499,1060,2276
